790,911
826,908
861,908
895,909
938,910
974,910
1002,910
1048,910
1076,914
1103,912
1127,910
1177,930
1215,929
1240,928
1253,928
1288,928
1313,927
1349,924
1383,922
1453,923
1510,9262353,913
2379,915
2412,917
2465,919
2477,919
2513,919
2550,922
2586,920
2634,918
2701,917
2733,916
2788,914
2792,914
2826,913
2886,912
2907,910
2937,909
2980,908
3008,909
3049,911
3070,910
3152,912
3165,911
2992,892
3038,896
3071,896
3115,894
3164,892
3238,892
3397,890
3435,889
3531,891
3573,890
3620,890
3673,893
3736,895
3800,896
3876,900
3933,904
3668,903
3466,894
3342,889
4064,889
4060,888
4094,886
4145,887
4176,887
4260,888
4424,891
4454,892
4499,895
4499,896
4572,891
4636,889
4692,890
4789,893
4970,907
4989,907
5016,906
5047,906
4958,899
4772,880
4814,876
5086,886
5212,891
5244,891
5333,842
5330,807
