778,1518
811,1515
856,1514
898,1514
928,1511
949,1509
1013,1512
1048,1516
1094,1516
1121,1514
1163,1511
1206,1507
1247,1504
1317,1504
1370,1504
1398,1507
1662,1172
1660,1146
1658,1134
1658,1110
1597,1117
1575,1118
1536,1116
1527,1115
1645,1330
1703,1326
1721,1323
1752,1322
1758,1321
1791,1322
2542,1510
2585,1511
2598,1511
2649,1511
2668,1511
2716,1508
2738,1508
2779,1506
2827,1503
2879,1501
2912,1501
2956,1499
2984,1499
3036,1500
3076,1500
3134,1500
3202,1502
3252,1503
3292,1502
3353,1503
3386,1504
3450,1507
3493,1510
3439,1509
3477,1506
3521,1506
3590,1504
3655,1498
3750,1500
3801,1497
3846,1497
3878,1498
3929,1496
3968,1497
4009,1496
4074,1491
4142,1492
4173,1492
4213,1492
4271,1493
4333,1494
4372,1496
4426,1497
4459,1501
5007,1295
5041,1295
5551,1100
5512,1100
5508,1129
5551,1132
5772,1547
5726,1541
5691,1539
5661,1536
5663,1569
5702,1573
5733,1574
5758,1575
5973,1488
5940,1485
5904,1483
5873,1481
5880,1522
5916,1543
5963,1574
5962,1514
5872,1581
6068,1576
6115,1583
6145,1583
6193,1581
6229,1578
6259,1576
6320,1577
6347,1577
6386,1577
6427,1575
6463,1574
6529,1575
6572,1576
6640,1577
6745,1577
6783,1578
6838,1577
6919,1576
6982,1577
7009,1580
7002,1543
6660,782
6613,780
6546,777
6495,775
6411,770
6351,771
6280,773
6206,776
6115,765
6057,762
5956,766
5881,766
5827,765
5909,772
5877,771
5840,771
5763,772
5655,776
5524,771
5433,766
5363,766
5299,766
5183,767
5118,764
5118,774
5070,774
5026,776
4956,773
4888,772
4815,769
4729,765
4645,768
4578,778
4510,769
4445,768
4377,766
4578,766
4494,766
4433,768
4358,770
4258,767
4146,760
4054,764
3970,763
3895,767
3828,771
3835,760
3777,760
3640,759
3554,760
3457,762
3340,763
3200,767
3100,772
3022,769
3119,762
3024,763
2932,759
2796,760
2750,761
2634,759
2478,757
2401,757
2328,758
2417,775
2273,765
2132,750
2021,752
1925,748
1808,745
1689,746
1602,746
1512,748
1581,771
1494,767
1431,765
1356,765
1278,768
1194,771
1073,768
1011,766
939,764
859,763
773,766
711,765
701,769
598,767
518,767
431,768
